osm_name,osm_city,osm_id,distance_km,cgolf_found,match_score,cgolf_name,cgolf_url,holes_count,has_par,has_hcp,has_dist
Golf Club Domaine de Champlong,,way/425968946,68.5,oui,100.0,Golf Club Domaine de Champlong Parcours Pitch and Putt Villerest,https://www.cgolf.fr/detail/golf-club-domaine-de-champlong-parcours-pitch-and-putt-villerest-42300,0,?,?,?
Golf,,way/482619986,68.6,non,0,,,0,non,non,non
Golf de Mâcon La Salle,,way/195646412,71.2,oui,100.0,Golf de Mâcon La Salle La Salle,https://www.cgolf.fr/detail/golf-de-macon-la-salle-71260,0,?,?,?
Golf de Mâcon La Salle,,way/195646412,71.2,oui,100.0,Golf de Mâcon La Salle Parcours Pitch and Putt La Salle,https://www.cgolf.fr/detail/golf-de-macon-parcours-pitch-and-putt-la-salle-71260,0,?,?,?
Golf de Grenoble Charmeil,,way/103553037,76.6,oui,100.0,Golf de Grenoble Charmeil Saint-Quentin-sur-Isère,https://www.cgolf.fr/detail/golf-de-grenoble-charmeil-saint-quentin-sur-isere-38210,0,?,?,?
Golf du Haut Bugey,,way/897996163,78.1,non,0,,,0,non,non,non
Putting-Golf de Tence,,way/444928155,82.6,non,0,,,0,non,non,non
Golf Club Aix les Bains,,way/164818549,83.8,non,0,,,0,non,non,non
Golf des Chanalets,,way/785647219,87.4,oui,100.0,Golf des Chanalets Bourg-lès-Valence,https://www.cgolf.fr/detail/golf-des-chanalets-bourg-les-valence-26500,0,?,?,?
Golf du Chambon-sur-Lignon,,relation/10321739,90.7,oui,100.0,Golf du Chambon-sur-Lignon Le Chambon-sur-Lignon,https://www.cgolf.fr/detail/golf-du-le-chambon-sur-lignon-43400,0,?,?,?
Golf Granier Apremont,,way/1393697408,91.9,non,0,,,0,non,non,non
Golf de Valence Saint-Didier,,way/460186822,92.7,oui,100.0,Golf Club Valence Saint Didier  Charpey,https://www.cgolf.fr/detail/golf-club-valence-saint-didier-charpey-26300,0,?,?,?
Golf de Montrottier,,way/1420914309,94.9,non,0,,,0,non,non,non
Golf Driving Range,,way/95149376,95.1,oui,60,Golf Blue Green Grenoble Seyssins Seyssins,https://www.cgolf.fr/detail/golf-blue-green-grenoble-seyssins-38180,0,?,?,?
Golf de Seyssins,,way/95458066,95.2,oui,100.0,Golf Blue Green Grenoble Seyssins Seyssins,https://www.cgolf.fr/detail/golf-blue-green-grenoble-seyssins-38180,0,?,?,?
Golf de Porte-de-Savoie,,way/184458423,96.6,non,0,,,0,non,non,non
Golf de Corrençon,,way/211885973,98.5,oui,100.0,Golf de Corrençon-en-Vercors  Corrençon-en-Vercors,https://www.cgolf.fr/detail/golf-de-correncon-en-vercors-38250,0,?,?,?
golf de Cunlhat,,way/211254416,99.8,non,0,,,0,non,non,non
Golf de Gonville,,way/131923892,100.3,non,0,,,0,non,non,non
Golf International de Grenoble,,way/125967213,100.7,non,0,,,0,non,non,non
